FE,SIO2,AL2O3,P
60,3.1,1.83,0.02
61.97,2.24,1.15,0.02
61.11,2.1,1.17,0.07
59.49,3.54,1.73,0.08
61.19,2.34,0.98,0.06
58.7,3.62,1.79,0.07
59.96,3.9,1.24,0.06
59.74,2.67,1.33,0.05
61.79,1.98,1.13,0.06
61.61,2.17,1.24,0.06
57.86,3.59,2.11,0.06
59.37,2.87,1.6,0.06
61.33,3.53,0.78,0.04
61.97,2.46,0.98,0.05
61.55,2.83,1.17,0.05
61.72,3.03,1.41,0.06
62.37,2.22,0.99,0.04
63.42,2.62,1.12,0.05
62.56,2.77,1.24,0.05
61.74,3.16,1.33,0.04
62.58,2.4,1.14,0.04
60.3,3.33,1.46,0.05
62.98,2.42,0.95,0.04
62.58,2.19,1.06,0.04
60.83,3.09,1.5,0.04
62.02,2.34,1.18,0.04
58.08,5.22,1.59,0.03
60.39,2.56,1.49,0.09
60.34,2.54,1.48,0.09
60.97,2.22,1.26,0.08
59.88,2.6,1.63,0.08
59.73,2.97,1.64,0.08
61.59,1.95,1.21,0.06
61.32,2.21,1.4,0.07
60.46,2.58,1.47,0.07
58.76,3.3,1.87,0.09
62.52,2.01,1.01,0.06
62.16,1.93,1.26,0.05
62.71,2.07,1.2,0.04
60.97,2.43,1.24,0.05
61.87,2.36,1.3,0.06
61.86,2.55,1.38,0.06
61.33,2.55,1.37,0.06
58.66,3.72,2.05,0.07
61.57,2.6,1.38,0.05
61.11,3.03,1.43,0.04
59.77,3.96,1.55,0.04
62.8,2.11,0.95,0.03
61.08,2.79,1.25,0.03
61.88,1.81,0.71,0.02
61.04,2.91,0.73,0.03
59.32,3.97,1.32,0.03
60.13,2.85,1.63,0.04
59.22,4.17,1.72,0.03
60.16,3.62,1.56,0.03
58.19,2.84,1.89,0.11
59.45,2.33,1.26,0.1
59.86,2.42,1.14,0.09
59.5,2.52,1.28,0.12
58.95,2.28,1.55,0.1
59.77,2.15,1.12,0.08
60.05,2.15,1.18,0.07
60.26,1.65,0.88,0.03
60.8,1.9,0.91,0.04
60.46,2.04,1,0.04
60.5,2.03,1,0.04
60.84,1.91,0.91,0.03
60.49,2.27,1.05,0.04
59.82,2.48,1.21,0.05
63.18,1.75,0.99,0.04
62.24,1.59,0.95,0.04
62.51,1.4,0.78,0.03
60.65,1.96,1.37,0.04
61.65,1.55,0.83,0.03
60.93,2.2,1.15,0.05
61.77,2.03,0.98,0.04
61.78,1.86,1.15,0.04
62.2,2.04,1.15,0.03
62.14,1.98,1.34,0.03
61.73,2.19,1.44,0.04
61.3,2.28,1.32,0.03
60.31,2.69,2.01,0.04
59.16,3.62,2.31,0.03
60.76,2.68,1.15,0.02
60.84,2.3,1.13,0.02
58.72,3.48,1.48,0.03
61.55,2.81,1.69,0.08
61.74,2.56,1.29,0.08
61.4,2.38,1.31,0.08
61.18,2.59,1.24,0.09
59.72,4.1,1.67,0.06
61.74,2.29,1.24,0.05
59.43,3.42,1.86,0.06
57.94,4.21,1.76,0.08
63.87,1.78,0.7,0.04
62.38,2.33,1.13,0.05
59.61,3.6,1.67,0.05
61.83,2.88,1.3,0.05
62.31,2.46,1.25,0.06
62.28,2.88,1.31,0.05
61.95,3.17,1.32,0.04
60.75,3.37,1.72,0.06
58.46,5.68,2.52,0.05
59.49,3.56,1.71,0.03
60.38,3.28,1.39,0.03
58.82,4.68,2.69,0.03
59.88,3.13,1.95,0.03
61.03,2.39,1.21,0.02
58.73,4.45,2.46,0.03
58.52,4.64,2.43,0.03
60.13,4.54,2.27,0.03
60.66,2.47,1.32,0.06
61.18,1.81,1.21,0.06
61.02,1.81,1.18,0.06
60.47,2.46,1.42,0.07
61.93,1.92,0.98,0.06
62.82,1.48,0.79,0.05
62.02,1.7,0.87,0.06
60.85,3.73,1.22,0.06
61.3,3.01,1.13,0.08
63.34,1.47,0.8,0.07
61.73,2.01,1.06,0.07
62.38,1.79,0.89,0.07
62.26,2.08,0.98,0.07
62.18,2.08,1.12,0.06
61.96,2.01,0.89,0.07
62.11,1.97,0.86,0.04
61.39,1.97,0.87,0.04
62.94,1.78,0.93,0.04
62.99,1.62,0.89,0.04
62.11,1.83,1.12,0.04
62.71,1.95,0.92,0.04
59.72,4.46,1.16,0.04
60.85,2.8,1.32,0.04
61.75,2.57,1.1,0.03
58.83,4.53,1.93,0.04
60.2,2.46,1.3,0.08
60.2,2.46,1.3,0.08
61,2.24,1.54,0.07
61,2.24,1.54,0.07
61.2,2.13,1.33,0.05
61.2,2.13,1.33,0.05
63.4,2.15,0.83,0.05
63.4,2.15,0.83,0.05
61.3,3.29,1.4,0.05
61.3,3.29,1.4,0.05
61.7,2.77,1.22,0.05
61.7,2.77,1.22,0.05
60.1,3.09,1.7,0.06
60.1,3.09,1.7,0.06
62,2.08,1.28,0.05
62,2.08,1.28,0.05
60.8,2.93,1.23,0.03
60.8,2.93,1.23,0.03
58.96,3.43,2.1,0.11
60.95,3.46,1.34,0.1
59.94,2.57,1.08,0.08
59.04,2.85,1.69,0.08
61.38,2.34,1.07,0.09
60.5,2.52,1.34,0.08
61.09,2.47,1.5,0.06
59.58,3.25,1.81,0.06
56.2,5.04,2.54,0.07
59.71,2.7,1.11,0.07
62.34,2.28,0.99,0.06
62.14,2.08,1.11,0.07
62.21,2.26,1.05,0.06
63.68,1.7,0.9,0.04
63.12,2.05,1.12,0.05
63.51,1.55,0.94,0.04
61.76,2.73,1.48,0.05
62.32,2.15,1.13,0.05
61.57,2.51,1.13,0.04
60.86,3.42,1.19,0.04
60.53,3.63,1.36,0.04
62.68,2.04,0.9,0.03
61.9,2.56,1.14,0.03
63.01,2.14,1.03,0.03
60.37,3.48,1.3,0.02
59.75,2.29,0.85,0.08
60,2.88,1.12,0.1
59.83,2.97,1.33,0.12
58.95,2.78,1.39,0.1
58.23,2.55,1.46,0.09
58.4,2.7,1.55,0.08
58.77,2.68,1.44,0.08
57.91,3.43,2.49,0.05
58.48,3.52,1.89,0.07
62.25,2.34,1.2,0.07
61.59,2.2,1.29,0.06
61.19,2.48,1.29,0.06
62.71,1.92,1.1,0.07
61.41,2.22,1.33,0.08
61.93,2.05,1.29,0.06
57.81,4.27,2.91,0.07
61.74,2.08,1.2,0.05
60.91,2.26,1.2,0.05
61.19,2.01,1.01,0.04
61.32,2.07,1.04,0.04
61.31,2.18,1.07,0.03
60.55,2.56,1.25,0.03
60.62,2.53,1.3,0.03
59.8,3.25,1.87,0.03
59.49,3.2,1.9,0.03
61.59,2.54,1.46,0.08
61.77,2.63,1.31,0.09
60.38,3.02,1.46,0.09
60.92,2.56,1.07,0.08
61.65,2.15,1.26,0.06
59.33,4.34,1.48,0.05
56.24,5.46,2.9,0.06
59.26,3.54,1.39,0.07
62.41,2.45,0.93,0.06
61.95,2.48,0.96,0.05
58.05,4.23,1.64,0.05
62.34,2.03,1.04,0.06
60.92,3.08,1.5,0.06
62.41,2.67,1.17,0.06
60.85,3.03,1.73,0.07
62.34,2.46,1.4,0.06
61.28,3.02,1.19,0.04
55.22,7.12,2.09,0.03
61.39,3.2,1.07,0.03
58.38,5.89,1.77,0.03
60.83,3.5,1.3,0.02
59.53,4.35,1.82,0.08
61.65,2.16,1.05,0.07
61.22,2.46,1.17,0.07
60.39,3.33,1.21,0.07
60.31,3.49,1.44,0.07
61.12,2.12,1.25,0.06
59.83,3.08,1.54,0.07
60.88,2.19,1.06,0.06
61.63,1.89,1.02,0.05
59.4,3.63,1.73,0.05
58.63,3.26,1.72,0.06
63.19,1.78,0.71,0.04
61.21,2.05,0.89,0.04
61.56,2.82,1.19,0.05
61.34,3.31,1.46,0.05
63.2,2.1,0.97,0.05
62.35,2.62,1.23,0.05
61.54,2.83,1.13,0.05
61.74,2.6,1.09,0.04
60.72,2.68,1.46,0.09
60.96,3.2,1.75,0.1
60.45,2.86,1.48,0.09
59.98,2.69,1.21,0.07
60.26,2.78,1.44,0.07
60.43,2.53,1.53,0.06
59.67,3.07,1.64,0.06
59.05,3.57,1.61,0.07
63.17,2.19,0.92,0.05
61.59,2.44,1.1,0.05
60.32,3.2,1.24,0.04
63.31,2.11,0.99,0.05
62,2.74,1.36,0.06
61.58,2.83,1.5,0.06
62.38,2.54,1.47,0.06
61.07,3.2,1.58,0.05
60.44,3.52,1.71,0.05
60.43,3.07,1.48,0.04
60.95,3.35,1.11,0.03
59.43,4.9,1.6,0.03
60.45,3.64,1.4,0.03
62.99,1.82,1,0.08
61.51,2.26,1.28,0.09
60.56,2.55,1.4,0.08
59.32,3.09,1.63,0.1
59.47,3.31,1.54,0.08
60.04,2.83,1.7,0.06
58.03,4.49,1.43,0.06
59.27,3.04,1.62,0.07
58.59,3.74,1.96,0.07
62.8,2.18,0.83,0.05
61.37,2.44,1.21,0.06
59.73,2.79,1.28,0.05
62.29,2.19,1.23,0.06
61.49,2.57,1.47,0.06
61.59,2.69,1.53,0.05
61.8,2.45,1.57,0.06
62.36,2.09,1.21,0.06
61.29,2.9,1.56,0.05
61.72,2.14,1.29,0.04
61.96,2.32,1.35,0.04
60.11,3.28,1.73,0.04
60.72,2.64,1.35,0.03
61.19,2.42,1.41,0.04
60.06,3.68,1.62,0.05
60.7,4.11,1.48,0.03
59.9,4.52,1.75,0.03
57.17,5.57,2.8,0.03
61.24,2.16,1.15,0.08
61.39,2.08,1.16,0.08
61.06,2.71,1.6,0.08
61.6,2.26,1.21,0.08
59.98,2.61,1.53,0.08
60.88,2.21,1.35,0.06
59.87,2.46,1.56,0.06
60.93,2.34,1.35,0.06
60.14,2.26,1.34,0.05
59.64,2.9,1.87,0.06
61.42,3.49,1.06,0.05
62.63,2.36,0.75,0.05
63.42,2.62,0.83,0.04
61.53,2.92,1.07,0.04
60.81,3.43,1.47,0.05
62.39,2.78,1.2,0.05
59.85,3.13,1.3,0.04
58.54,2.84,1.37,0.05
58.06,3.05,2.08,0.1
59.17,3.12,1.62,0.1
59.76,2.71,1.3,0.1
59.13,2.61,1.23,0.1
59.19,2.37,1.35,0.09
59.61,2.22,1.15,0.08
59.77,2.14,1.17,0.07
59.49,2.31,1.26,0.07
58.47,3.04,1.84,0.07
57.21,4.14,1.83,0.08
62.49,1.99,1.04,0.06
61.08,2.23,1.25,0.07
60.79,2.65,1.25,0.06
62.81,1.83,1.02,0.06
62.29,1.94,0.98,0.06
62.37,1.84,0.82,0.06
60.88,2.16,1.19,0.05
61.14,1.71,1.06,0.05
61.6,1.67,0.9,0.04
61.07,2.24,1.33,0.04
60.78,2.03,1.4,0.03
60.93,2.07,1.44,0.03
60.75,2.26,1.25,0.03
60.81,2.11,1.24,0.03
61.13,2.6,1.6,0.03
60.4,2.86,1.55,0.03
60.17,2.91,1.66,0.03
61.07,2.69,1.58,0.02
60.98,2.27,1.08,0.09
62.38,2.58,1.18,0.09
61.8,2.47,1.21,0.09
59.41,2.96,1.52,0.08
59.12,3.72,1.5,0.07
59.73,3.32,1.61,0.08
60.12,2.8,1.61,0.06
57.94,4.14,2.22,0.09
61.22,2.75,1.31,0.06
63.3,1.86,0.85,0.04
62.29,2.36,1.09,0.05
59.51,4.38,2.05,0.06
63.74,2.01,0.95,0.05
61.34,3,1.74,0.05
62.69,2.4,1.32,0.05
60.62,3.04,1.74,0.06
60.78,3.46,1.66,0.06
61.58,2.93,1.43,0.05
60.38,3.3,1.63,0.04
60.2,5.05,1.35,0.04
60.85,4.7,1.31,0.03
59.89,4.55,1.81,0.04
60.58,3.71,1.51,0.04
61.24,3.21,1.38,0.09
60.77,3.87,1.7,0.09
60.62,3.03,1.09,0.1
59.72,2.71,1.5,0.09
60.84,2.34,1.2,0.07
60.83,2.36,1.18,0.09
59.81,2.85,1.28,0.06
60.3,2.65,1.42,0.06
59.27,3.44,1.78,0.06
59.52,3.47,1.44,0.08
63.03,2.19,0.97,0.06
62.09,2.16,1.04,0.06
61.4,2.5,1.1,0.06
61.21,2.41,1.32,0.08
61.38,2.06,1.23,0.06
61.48,2.49,1.32,0.06
62.58,2.01,1.04,0.05
60.6,2.76,1.57,0.06
61.92,2.04,1.02,0.05
62.16,2.06,1.04,0.04
60.44,3.1,1.44,0.04
61.03,3.35,1.94,0.09
60.47,2.87,1.49,0.09
59.32,2.97,2.08,0.09
59.4,3.3,1.76,0.09
58.95,3.28,1.61,0.08
60.75,2.54,1.42,0.06
59.48,3.09,1.32,0.06
61.59,2.51,1.1,0.07
62.9,1.86,0.9,0.06
62.5,1.97,1,0.05
61.68,2.5,1.29,0.06
62.31,2.22,1.15,0.06
62.55,1.84,0.97,0.05
62.79,1.74,1.04,0.05
59.82,3.28,2.24,0.08
62.31,2.31,1.25,0.06
61.58,3.13,1.3,0.05
61.69,2.31,1.29,0.05
61.88,2.42,0.98,0.04
59.66,4.12,1.27,0.04
63.01,1.57,0.92,0.03
59.92,4.55,1.15,0.04
59.47,4.75,1.24,0.04
62.12,3.27,1.41,0.03
60.93,3.85,1.78,0.04
61.53,2.07,1.3,0.09
61.1,2.66,1.54,0.1
60.82,2.29,1.37,0.09
60.14,2.74,1.45,0.08
59.32,3.06,1.42,0.06
62.29,2.17,1.24,0.06
59.82,3.6,1.62,0.06
57.68,4.03,1.97,0.08
61.65,2.57,1.19,0.06
62.14,2.13,0.98,0.05
61.44,2.95,1.2,0.05
59.69,3.88,2.2,0.06
62.98,2.37,1.25,0.05
61.43,2.91,1.64,0.06
62.92,2.26,1.36,0.05
62.23,2.13,1.16,0.05
61.21,2.48,1.25,0.05
60.76,2.97,1.28,0.03
61.3,3.06,1.09,0.03
62.76,1.33,0.58,0.06
62.67,1.17,0.49,0.05
62.41,1.32,0.45,0.05
60.86,1.81,0.76,0.07
60.03,2.05,1,0.11
60.13,1.96,1.01,0.11
59.13,1.76,2.64,0.05
57.22,3.18,3.59,0.03
56.43,3.64,3.36,0.03
57.07,3.18,3.25,0.05
58.91,2.79,1.81,0.06
54.82,4.16,2.03,0.04
56.74,3.87,3.3,0.02
58.77,2.24,2.03,0.01
55.8,3.89,3.1,0.02
60.12,3.09,1.99,0.08
60.09,2.9,1.81,0.08
61.62,2.78,1.27,0.09
60.76,3.03,1.57,0.07
59.38,3.59,1.98,0.07
61.18,2.37,1.31,0.06
60.46,2.49,1.78,0.07
60.35,2.72,1.58,0.06
59.01,3.26,1.9,0.07
61.41,2.39,1.18,0.06
64.09,1.44,0.73,0.05
62.7,2.09,0.98,0.05
60.06,2.86,1.45,0.05
63.35,1.77,0.92,0.05
61.41,2.36,1.49,0.06
62.06,2.17,1.36,0.06
62.04,2.26,1.43,0.06
60.87,3.15,1.73,0.06
61.65,2.49,1.34,0.05
59.93,3.73,1.3,0.04
61.78,2.07,1.52,0.04
61.15,1.86,0.8,0.03
60,2.41,0.8,0.03
60.8,3.13,1.03,0.05
60.66,2.46,1.21,0.05
60.89,2.16,1.17,0.05
60,2.99,1.47,0.06
60.47,2.42,1.53,0.06
61.39,1.66,1.01,0.05
60.76,2.47,1.24,0.06
61.37,2.15,1.23,0.06
60.81,2.14,1.32,0.06
58.68,2.92,2.07,0.07
60.07,3.34,1.46,0.06
62.83,3.43,0.62,0.04
59.58,4.83,0.83,0.04
59.67,3.94,1.32,0.05
59.75,5.07,1.35,0.05
62.66,3.01,1.11,0.05
61.95,3.51,1.33,0.05
57.21,8.44,1.77,0.04
60.93,3.58,1.58,0.05
61.34,3.05,1.34,0.04
60.8,4.06,1.43,0.04
60.83,2.55,1.34,0.09
60.83,2.55,1.34,0.09
59.38,3.27,1.68,0.09
59.38,3.27,1.68,0.09
60.21,2.9,1.39,0.06
60.21,2.9,1.39,0.06
58.63,4.03,2.09,0.06
58.63,4.03,2.09,0.06
58.26,4.6,2.16,0.06
58.26,4.6,2.16,0.06
61.3,4.01,0.95,0.05
61.3,4.01,0.95,0.05
61.72,2.51,1.38,0.05
61.72,2.51,1.38,0.05
62.45,2.17,1.29,0.06
62.45,2.17,1.29,0.06
62.01,2.48,1.37,0.06
62.01,2.48,1.37,0.06
61.39,2.64,1.33,0.05
61.39,2.64,1.33,0.05
60.63,3.85,1.2,0.03
60.63,3.85,1.2,0.03
61.45,3.04,1.08,0.03
61.45,3.04,1.08,0.03
60.9,4.36,1.79,0.04
60.9,4.36,1.79,0.04
59.59,2.74,1.56,0.13
58.41,3.61,2.11,0.11
59.93,3.66,1.63,0.11
59.5,3.11,1.5,0.11
59.46,2.49,1.4,0.1
59.75,2.71,1.27,0.07
59.08,3.12,1.56,0.08
58.87,2.9,1.86,0.07
58.77,3.04,1.81,0.06
56.31,4.5,2.43,0.06
58.94,3.17,1.59,0.08
63.18,1.94,0.91,0.05
62.23,2.03,1.08,0.06
61.66,2.1,1.1,0.06
62.37,1.97,1.19,0.07
62.36,1.93,1.2,0.06
62.99,1.56,0.76,0.04
60.69,2.58,1.24,0.05
61.06,2.47,1.09,0.05
62.06,2.06,1.03,0.04
60.38,2.6,1.33,0.04
60.42,2.5,1.21,0.04
61.61,2.49,0.79,0.03
59.15,3.57,1.36,0.03
60.91,3.3,0.9,0.02
60.23,2.54,1.56,0.09
60.45,2.51,1.5,0.1
60.54,2.55,1.4,0.1
59.75,2.84,1.54,0.09
58.72,3.77,1.68,0.09
59.7,3.39,1.49,0.07
61.21,2.07,1.11,0.05
60.43,2.71,1.59,0.07
58.66,3.16,1.82,0.08
59.79,2.59,1.38,0.06
62.87,1.76,0.81,0.05
61.66,2.1,1.02,0.07
59.06,3.71,1.72,0.06
63.39,1.85,0.92,0.05
62.17,2.25,1.2,0.06
61.96,2.35,1.38,0.06
62.33,2.1,1.32,0.06
61.15,2.84,1.4,0.05
59.71,5.65,1.18,0.05
59.24,5.21,1.45,0.04
59.65,4.87,1.49,0.05
60.95,4.12,1.22,0.04
59.06,5.33,1.35,0.03
59.48,5.34,1.18,0.04
61.45,2.13,1.16,0.07
59.74,2.87,1.58,0.09
61.37,2.19,1.36,0.07
58.78,3.59,1.73,0.08
61.3,2.06,1.22,0.07
61.86,1.92,1.18,0.06
61.82,1.96,1.24,0.06
59.64,2.68,1.68,0.06
58.77,3.13,1.91,0.07
61.52,2.79,1.16,0.06
61.97,2.06,1.06,0.05
62.55,2.39,0.87,0.05
59.32,4.12,1.24,0.05
62.82,2.3,1.2,0.05
62.92,2.55,1.09,0.05
61.42,3.23,1.38,0.06
61.26,3.2,1.42,0.05
60.03,3.34,1.59,0.05
61.37,2.64,1.25,0.04
59.21,3.14,1.74,0.1
59.24,2.91,1.37,0.11
59.05,2.54,1.1,0.1
58.63,2.49,1.4,0.09
58.44,2.6,1.59,0.08
58.64,2.67,1.54,0.07
59.15,2.36,1.35,0.07
58.47,2.93,1.68,0.07
58.24,3.04,1.78,0.07
58.47,3.36,1.71,0.07
60.86,2.36,1.33,0.07
62.63,1.61,1.01,0.06
59.78,2.26,1.36,0.06
60.18,2.2,1.25,0.06
61.53,1.58,0.89,0.04
61.32,1.96,1.15,0.06
62.52,1.65,1.04,0.05
58.18,3.68,2.76,0.06
61.53,1.76,1.24,0.05
62.43,1.7,1.13,0.04
61.93,1.91,1.23,0.04
60.99,2.4,1.89,0.04
62.37,1.93,1.29,0.04
60.87,2.4,1.44,0.05
62.68,1.64,0.95,0.04
61.91,1.79,0.97,0.03
60.85,2.71,1.44,0.03
62.56,1.96,0.93,0.02
59.99,3.14,1.38,0.03
59.37,2.57,1.52,0.03
60.67,2.45,1.5,0.03
61.77,2.29,1.44,0.09
59.88,3.32,2.2,0.08
60.1,2.95,1.8,0.08
59.37,3.09,1.66,0.1
59.99,2.78,1.67,0.07
61.1,2.17,1.4,0.06
60.76,2.47,1.18,0.07
62.16,2.27,1.05,0.06
63.17,1.76,0.86,0.05
62.5,1.98,1.05,0.05
62.89,2.17,1.09,0.05
62.87,1.81,1.01,0.05
62.63,2.17,1.34,0.06
63.86,1.63,0.99,0.05
61.68,2.32,1.4,0.06
61.22,2.67,1.18,0.05
60.65,3.53,1.21,0.05
58.68,5.18,1.59,0.05
60.61,5.25,0.99,0.04
61.38,3.25,1.33,0.04
62.07,2.87,1.23,0.04
59.31,4.63,1.62,0.04
59.08,4.22,1.72,0.04
61.09,3.51,1.52,0.03
59.74,2.84,1.63,0.08
59.96,2.74,1.6,0.07
60.17,2.65,1.25,0.07
58.37,3.74,1.88,0.07
61.73,2.17,1.46,0.07
61.68,2.39,1.49,0.07
61.62,2.29,1.41,0.06
60.12,2.85,1.62,0.07
58.97,3.17,1.46,0.06
63.7,1.66,0.79,0.04
63.44,1.71,0.83,0.05
62.96,1.99,0.98,0.04
58.32,3.16,1.52,0.05
63.05,1.75,1.02,0.06
62.44,2.2,1.29,0.06
62.77,1.76,1.12,0.06
60.05,3.29,1.91,0.06
62.46,2.16,1.11,0.05
62.28,2.23,1.18,0.05
61.26,2.56,1.39,0.04
61.57,2.47,1.2,0.04
62.52,1.53,0.9,0.03
61.53,2,1.27,0.03
62.39,1.85,1.15,0.04
60.05,3.3,1.72,0.05
60.03,3.71,1.81,0.05
59.97,3.8,1.29,0.03
62.35,2.36,1.27,0.1
62.46,2.56,1.2,0.09
60.62,2.64,1.56,0.09
60.58,2.68,1.34,0.09
60.66,2.57,1.29,0.07
61.27,2.6,1.52,0.07
57.47,4.48,2.85,0.11
60.4,3.08,1.31,0.07
63.12,1.97,0.88,0.06
61.9,2.53,1.2,0.06
62.07,2.36,0.98,0.06
62.57,2.34,1.26,0.05
62.35,2.61,1.4,0.06
62.7,2.09,1.15,0.05
60.33,3.27,1.65,0.05
61.96,2.8,1.35,0.05
61.09,3.51,1.1,0.04
60.52,2.67,1.54,0.06
60.48,2.96,1.51,0.06
61.35,2.1,1.2,0.06
59.24,3.46,1.64,0.06
58.72,4.07,1.69,0.06
60.57,2.26,1.13,0.06
60.27,2.53,1.1,0.05
61.48,1.72,0.91,0.05
60.9,2.05,1.28,0.06
59.02,2.99,1.58,0.06
58.86,3.38,1.55,0.05
61.45,3.95,0.74,0.04
59.25,4.1,1.2,0.04
55.49,7.83,1.76,0.04
61.75,4.17,0.97,0.04
60.41,5.68,1.19,0.04
62.14,3.79,1.39,0.05
60.32,5.15,1.77,0.04
60.13,5.02,1.77,0.04
57.86,5.7,1.86,0.05
60.45,3.19,1.59,0.04
61.33,3.02,1.33,0.04
59.1,2.83,1.96,0.09
59.94,2.48,1.4,0.08
59.93,2.49,1.25,0.08
59.78,2.51,1.11,0.07
59.1,2.82,1.7,0.08
58.88,3.06,1.82,0.08
58.47,3.74,1.84,0.06
57.8,4.1,1.7,0.06
58.09,3.55,1.54,0.06
58.13,2.86,1.45,0.06
56.77,3.05,2.2,0.07
56.21,3.18,2.57,0.06
59.16,2.24,2.18,0.07
59.39,2.36,1.72,0.07
61.09,2.17,1.59,0.07
61.6,1.82,1.18,0.06
59.39,3,1.38,0.05
58.87,2.69,1.87,0.06
59.3,2.57,1.87,0.05
58.13,3.79,1.49,0.04
62.26,2.2,1.24,0.1
61.21,2.89,1.77,0.1
61.03,2.64,1.48,0.09
60.26,2.87,1.49,0.09
59.64,3.14,1.77,0.08
61.12,2.28,1.33,0.06
58.59,3.38,1.76,0.07
59.05,3.18,1.45,0.08
62.9,1.7,0.83,0.05
61.39,2.74,1.18,0.06
61.34,2.23,1.21,0.06
58.6,2.92,1.68,0.06
62.47,2.14,1.23,0.06
62.95,1.99,1.08,0.05
62.82,1.93,1.22,0.06
61.46,2.5,1.57,0.06
62.25,2.46,1.06,0.05
61.88,2.37,1.15,0.05
60.22,2.85,1.86,0.04
60.64,4.64,1.31,0.04
58.71,7.98,1.38,0.04
61.48,3.09,1.35,0.04
60.81,4.11,1.49,0.04
59.18,4.93,1.5,0.04
60.26,4.82,1.57,0.03
60.27,2.52,1.49,0.07
60.47,2.44,1.31,0.08
59.85,3.23,1.65,0.08
61.17,2.31,1.33,0.07
59.29,3.78,1.64,0.07
60.58,2.49,1.6,0.06
60.69,2.49,1.57,0.06
58.38,3.93,2.02,0.07
60.89,2.1,1.05,0.06
64.65,1.46,0.6,0.04
62.38,1.63,0.86,0.05
61.73,2.02,1.06,0.05
60.64,2.89,1.66,0.07
62.86,1.82,1.05,0.06
61.39,2.36,1.54,0.06
62.3,1.75,1.24,0.06
61.75,2.08,1.59,0.07
61.14,2.41,1.31,0.05
61.23,2.31,1.34,0.04
60.93,2.63,1.62,0.05
61.99,2.24,1.17,0.04
61.09,2.33,1.1,0.03
61.3,2.77,1,0.03
62.12,2.14,1.27,0.04
59.77,3.34,1.99,0.08
61.19,2.48,1.27,0.07
61.02,2.39,1.33,0.08
60.9,2.55,1.57,0.07
60.15,2.96,1.84,0.08
60.75,2.59,1.72,0.07
60.57,2.66,1.4,0.06
61.38,2.11,1.43,0.06
59.17,3.04,1.91,0.07
59.05,3.84,1.76,0.06
62.46,2.14,1.23,0.06
63.49,1.67,0.8,0.05
62.62,1.92,0.89,0.05
61.94,2.85,1.24,0.05
61.74,2.03,1.05,0.05
60.73,4.57,1.29,0.05
61.75,2.86,1.18,0.05
58.39,5.06,1.84,0.06
60.83,3.02,1.53,0.08
63.78,1.21,0.68,0.08
63.37,1.26,0.84,0.11
62.57,1.83,1.16,0.09
60.04,2.37,1.52,0.13
60.36,1.99,1.61,0.11
58.14,3.14,2.53,0.12
59.12,2.22,1.64,0.08
58.67,2.65,1.83,0.08
61.01,1.1,0.88,0.07
60.26,2.05,1.36,0.07
60.76,2.03,1.3,0.05
60.25,2.51,1.57,0.06
60.88,2.09,1.5,0.05
62.36,1.95,1.47,0.04
60.38,2.95,1.64,0.04
60.07,2.65,2.05,0.04
59.59,2.05,1.65,0.03
59.63,2.05,1.41,0.03
59.61,2.34,1.48,0.03
63.05,1.81,1.37,0.03
62.92,1.84,1.43,0.03
58.87,2.83,2.83,0.03
60.73,2.08,0.83,0.02
52.71,5.46,2.51,0.02
56.75,3.09,1.26,0.02
60.94,1.49,0.66,0.02
60.56,2.1,0.95,0.02
60.53,3.12,0.87,0.02
61.32,2.46,1.28,0.03
61.09,2.59,0.99,0.03
61.11,2.56,1.27,0.03
60.48,2.65,1.59,0.07
60.48,2.65,1.59,0.07
60.32,3.45,1.66,0.06
60.32,3.45,1.66,0.06
61.01,2.42,1.41,0.06
61.01,2.42,1.41,0.06
61.88,2.25,1.06,0.05
61.88,2.25,1.06,0.05
62.47,2.08,0.99,0.05
62.47,2.08,0.99,0.05
62.03,2.23,1.2,0.05
62.03,2.23,1.2,0.05
62.26,1.97,1.16,0.05
62.26,1.97,1.16,0.05
61.52,2.52,1.34,0.06
61.52,2.52,1.34,0.06
61.51,2.92,1.5,0.04
61.51,2.92,1.5,0.04
61.85,1.98,1.18,0.03
61.85,1.98,1.18,0.03
59.03,4.54,1.88,0.04
59.03,4.54,1.88,0.04
62.61,2.05,1.23,0.1
60.08,2.79,1.62,0.09
60.77,2.57,1.43,0.09
60.13,2.58,1.4,0.09
60.08,2.66,1.55,0.08
59.95,2.82,1.58,0.07
56.78,4.63,2.94,0.08
58.65,3.6,1.74,0.1
61.5,2.46,1.2,0.07
61.18,2.4,1.21,0.06
61.11,2.44,1.18,0.06
60.27,2.69,1.28,0.06
61.46,2.98,1.33,0.06
63.97,1.92,0.92,0.04
63.43,2,1.06,0.04
60.29,3.45,1.15,0.06
59.33,3.91,1.08,0.05
58.49,4.52,1.18,0.05
57.27,6.42,1.6,0.04
59.92,6.04,1.07,0.03
59.87,4.14,1.17,0.03
60.75,4.21,0.97,0.03
60.75,2.63,1.21,0.03
60.57,2.9,1.2,0.03
61.53,2.21,1.02,0.03
61.19,2.18,1.12,0.06
61.07,2.31,1.16,0.06
60.43,2.55,1.51,0.06
59.08,2.71,1.8,0.06
60.75,2.02,1.22,0.06
60.71,1.96,1.03,0.05
59.67,2.9,1.3,0.06
60.35,2.04,1.13,0.05
60.32,2.35,1.32,0.06
57.31,3.56,2.2,0.06
